,Abstract,Title,Generated Title
184,"As a rule, a quadratic functional depending on a great number of binary
variables has a lot of local minima. One of approaches allowing one to find in
averaged deeper local minima is aggregation of binary variables into larger
blocks/domains. To minimize the functional one has to change the states of
aggregated variables (domains). In the present publication we discuss methods
of domains formation. It is shown that the best results are obtained when
domains are formed by variables that are strongly connected with each other.",Cluster Approach to the Domains Formation,model word for show auc vector
185,"AUC is an important performance measure and many algorithms have been devoted
to AUC optimization, mostly by minimizing a surrogate convex loss on a training
data set. In this work, we focus on one-pass AUC optimization that requires
only going through the training data once without storing the entire training
dataset, where conventional online learning algorithms cannot be applied
directly because AUC is measured by a sum of losses defined over pairs of
instances from different classes. We develop a regression-based algorithm which
only needs to maintain the first and second order statistics of training data
in memory, resulting a storage requirement independent from the size of
training data. To efficiently handle high dimensional data, we develop a
randomized algorithm that approximates the covariance matrices by low rank
matrices. We verify, both theoretically and empirically, the effectiveness of
the proposed algorithm.",One-Pass AUC Optimization,models based document demonstrated <unk> loss
186,"This paper is concerned with paraphrase detection. The ability to detect
similar sentences written in natural language is crucial for several
applications, such as text mining, text summarization, plagiarism detection,
authorship authentication and question answering. Given two sentences, the
objective is to detect whether they are semantically identical. An important
insight from this work is that existing paraphrase systems perform well when
applied on clean texts, but they do not necessarily deliver good performance
against noisy texts. Challenges with paraphrase detection on user generated
short texts, such as Twitter, include language irregularity and noise. To cope
with these challenges, we propose a novel deep neural network-based approach
that relies on coarse-grained sentence modeling using a convolutional neural
network and a long short-term memory model, combined with a specific
fine-grained word-level similarity matching model. Our experimental results
show that the proposed approach outperforms existing state-of-the-art
approaches on user-generated noisy social media data, such as Twitter texts,
and achieves highly competitive performance on a cleaner corpus.",A Deep Network Model for Paraphrase Detection in Short Text Messages,based neural <unk>
187,"We consider a setting for Inverse Reinforcement Learning (IRL) where the
learner is extended with the ability to actively select multiple environments,
observing an agent's behavior on each environment. We first demonstrate that if
the learner can experiment with any transition dynamics on some fixed set of
states and actions, then there exists an algorithm that reconstructs the
agent's reward function to the fullest extent theoretically possible, and that
requires only a small (logarithmic) number of experiments. We contrast this
result to what is known about IRL in single fixed environments, namely that the
true reward function is fundamentally unidentifiable. We then extend this
setting to the more realistic case where the learner may not select any
transition dynamic, but rather is restricted to some fixed set of environments
that it may try. We connect the problem of maximizing the information derived
from experiments to submodular function maximization and demonstrate that a
greedy algorithm is near optimal (up to logarithmic factors). Finally, we
empirically validate our algorithm on an environment inspired by behavioral
psychology.",Towards Resolving Unidentifiability in Inverse Reinforcement Learning,learning reduced model set reduced
188,"Ezhil is a Tamil language based interpreted procedural programming language.
Tamil keywords and grammar are chosen to make the native Tamil speaker write
programs in the Ezhil system. Ezhil allows easy representation of computer
program closer to the Tamil language logical constructs equivalent to the
conditional, branch and loop statements in modern English based programming
languages. Ezhil is a compact programming language aimed towards Tamil speaking
novice computer users. Grammar for Ezhil and a few example programs are
reported here, from the initial proof-of-concept implementation using the
Python programming language1. To the best of our knowledge, Ezhil language is
the first freely available Tamil programming language.",Ezhil: A Tamil Programming Language,despite <unk> <unk> polynomial
189,"Image denoising techniques are essential to reducing noise levels and
enhancing diagnosis reliability in low-dose computed tomography (CT). Machine
learning based denoising methods have shown great potential in removing the
complex and spatial-variant noises in CT images. However, some residue
artifacts would appear in the denoised image due to complexity of noises. A
cascaded training network was proposed in this work, where the trained CNN was
applied on the training dataset to initiate new trainings and remove artifacts
induced by denoising. A cascades of convolutional neural networks (CNN) were
built iteratively to achieve better performance with simple CNN structures.
Experiments were carried out on 2016 Low-dose CT Grand Challenge datasets to
evaluate the method's performance.","A Cascaded Convolutional Neural Network for X-ray Low-dose CT Image
  Denoising",policy evaluate model two show <unk> based filters
190,"End-to-end models for strategic dialogue are challenging to train, because
linguistic and strategic aspects are entangled in latent state vectors. We
introduce an approach to generating latent representations of dialogue moves,
by inducing sentence representations to maximize the likelihood of subsequent
sentences and actions. The effect is to decouple much of the semantics of the
utterance from its linguistic realisation. We then use these latent sentence
representations for hierarchical language generation, planning and
reinforcement learning. Experiments show that using our message representations
increases the reward achieved by the model, improves the effectiveness of
long-term planning using rollouts, and allows self-play reinforcement learning
to improve decision making without diverging from human language. Our
hierarchical latent-variable model outperforms previous work both
linguistically and strategically.",Hierarchical Text Generation and Planning for Strategic Dialogue,using <unk> based achieved problem <unk>
191,"Sensors on mobile devices---accelerometers, gyroscopes, pressure meters, and
GPS---invite new applications in gesture recognition, gaming, and fitness
tracking. However, programming them remains challenging because human gestures
captured by sensors are noisy. This paper illustrates that noisy gestures
degrade training and classification accuracy for gesture recognition in
state-of-the-art deterministic Hidden Markov Models (HMM). We introduce a new
statistical quantization approach that mitigates these problems by (1) during
training, producing gesture-specific codebooks, HMMs, and error models for
gesture sequences; and (2) during classification, exploiting the error model to
explore multiple feasible HMM state sequences. We implement classification in
Uncertain<t>, a probabilistic programming system that encapsulates HMMs and
error models and then automates sampling and inference in the runtime.
Uncertain<T> developers directly express a choice of application-specific
trade-off between recall and precision at gesture recognition time, rather than
at training time. We demonstrate benefits in configurability, precision,
recall, and recognition on two data sets with 25 gestures from 28 people and
4200 total gestures. Incorporating gesture error more accurately in modeling
improves the average recognition rate of 20 gestures from 34\% in prior work to
62\%. Incorporating the error model during classification further improves the
average gesture recognition rate to 71\%. As far as we are aware, no prior work
shows how to generate an HMM error model during training and use it to improve
classification rates.",High Five: Improving Gesture Recognition by Embracing Uncertainty,using  bentley morphology introduction estimation
192,"Modeling emotional-cognition is in a nascent stage and therefore wide-open
for new ideas and discussions. In this paper the author looks at the modeling
problem by bringing in ideas from axiomatic mathematics, information theory,
computer science, molecular biology, non-linear dynamical systems and quantum
computing and explains how ideas from these disciplines may have applications
in modeling emotional-cognition.",A novice looks at emotional cognition,using preprint model compressed locations model
193,"Unsupervised domain adaptation of speech signal aims at adapting a
well-trained source-domain acoustic model to the unlabeled data from target
domain. This can be achieved by adversarial training of deep neural network
(DNN) acoustic models to learn an intermediate deep representation that is both
senone-discriminative and domain-invariant. Specifically, the DNN is trained to
jointly optimize the primary task of senone classification and the secondary
task of domain classification with adversarial objective functions. In this
work, instead of only focusing on learning a domain-invariant feature (i.e. the
shared component between domains), we also characterize the difference between
the source and target domain distributions by explicitly modeling the private
component of each domain through a private component extractor DNN. The private
component is trained to be orthogonal with the shared component and thus
implicitly increases the degree of domain-invariance of the shared component. A
reconstructor DNN is used to reconstruct the original speech feature from the
private and shared components as a regularization. This domain separation
framework is applied to the unsupervised environment adaptation task and
achieved 11.08% relative WER reduction from the gradient reversal layer
training, a representative adversarial training method, for automatic speech
recognition on CHiME-3 dataset.","Unsupervised Adaptation with Domain Separation Networks for Robust
  Speech Recognition",models model domain
194,"Statistical techniques that analyze texts, referred to as text analytics,
have departed from the use of simple word count statistics towards a new
paradigm. Text mining now hinges on a more sophisticated set of methods,
including the representations in terms of complex networks. While
well-established word-adjacency (co-occurrence) methods successfully grasp
syntactical features of written texts, they are unable to represent important
aspects of textual data, such as its topical structure, i.e. the sequence of
subjects developing at a mesoscopic level along the text. Such aspects are
often overlooked by current methodologies. In order to grasp the mesoscopic
characteristics of semantical content in written texts, we devised a network
model which is able to analyze documents in a multi-scale fashion. In the
proposed model, a limited amount of adjacent paragraphs are represented as
nodes, which are connected whenever they share a minimum semantical content. To
illustrate the capabilities of our model, we present, as a case example, a
qualitative analysis of ""Alice's Adventures in Wonderland"". We show that the
mesoscopic structure of a document, modeled as a network, reveals many semantic
traits of texts. Such an approach paves the way to a myriad of semantic-based
applications. In addition, our approach is illustrated in a machine learning
context, in which texts are classified among real texts and randomized
instances.",Representation of texts as complex networks: a mesoscopic approach,technique data  proposed therefore
195,"In this paper, we consider a popular model for collaborative filtering in
recommender systems where some users of a website rate some items, such as
movies, and the goal is to recover the ratings of some or all of the unrated
items of each user. In particular, we consider both the clustering model, where
only users (or items) are clustered, and the co-clustering model, where both
users and items are clustered, and further, we assume that some users rate many
items (information-rich users) and some users rate only a few items
(information-sparse users). When users (or items) are clustered, our algorithm
can recover the rating matrix with $\omega(MK \log M)$ noisy entries while $MK$
entries are necessary, where $K$ is the number of clusters and $M$ is the
number of items. In the case of co-clustering, we prove that $K^2$ entries are
necessary for recovering the rating matrix, and our algorithm achieves this
lower bound within a logarithmic factor when $K$ is sufficiently large. We
compare our algorithms with a well-known algorithms called alternating
minimization (AM), and a similarity score-based algorithm known as the
popularity-among-friends (PAF) algorithm by applying all three to the MovieLens
and Netflix data sets. Our co-clustering algorithm and AM have similar overall
error rates when recovering the rating matrix, both of which are lower than the
error rate under PAF. But more importantly, the error rate of our co-clustering
algorithm is significantly lower than AM and PAF in the scenarios of interest
in recommender systems: when recommending a few items to each user or when
recommending items to users who only rated a few items (these users are the
majority of the total user population). The performance difference increases
even more when noise is added to the datasets.","Collaborative Filtering with Information-Rich and Information-Sparse
  Entities",based problem  new planning new data negative size
196,"Mainly for the sake of solving the lack of keyword-specific data, we propose
one Keyword Spotting (KWS) system using Deep Neural Network (DNN) and
Connectionist Temporal Classifier (CTC) on power-constrained small-footprint
mobile devices, taking full advantage of general corpus from continuous speech
recognition which is of great amount. DNN is to directly predict the posterior
of phoneme units of any personally customized key-phrase, and CTC to produce a
confidence score of the given phoneme sequence as responsive decision-making
mechanism. The CTC-KWS has competitive performance in comparison with purely
DNN based keyword specific KWS, but not increasing any computational
complexity.","Small-footprint Keyword Spotting Using Deep Neural Network and
  Connectionist Temporal Classifier",<unk> show <unk>
197,"This paper provides a general result on controlling local Rademacher
complexities, which captures in an elegant form to relate the complexities with
constraint on the expected norm to the corresponding ones with constraint on
the empirical norm. This result is convenient to apply in real applications and
could yield refined local Rademacher complexity bounds for function classes
satisfying general entropy conditions. We demonstrate the power of our
complexity bounds by applying them to derive effective generalization error
bounds.",Local Rademacher Complexity Bounds based on Covering Numbers,data constraint two show two model practical networks
198,"Biometrics authentication is an effective method for automatically
recognizing individuals. The authentication consists of an enrollment phase and
an identification or verification phase. In the stages of enrollment known
(training) samples after the pre-processing stage are used for suitable feature
extraction to generate the template database. In the verification stage, the
test sample is similarly pre processed and subjected to feature extraction
modules, and then it is matched with the training feature templates to decide
whether it is a genuine or not. This paper presents use of a region of interest
(ROI) for palm print technology. First some of the existing methods for palm
print identification have been introduced. Then focus has been given on
extraction of a suitable smaller region from the acquired palm print to improve
the identification method accuracy. Several existing work in the topic of
region extraction have been examined. Subsequently, a simple and original
method has then proposed for locating the ROI that can be effectively used for
palm print analysis. The ROI extracted using this new technique is suitable for
different types of processing as it creates a rectangular or square area around
the center of activity represented by the lines, wrinkles and ridges of the
palm print. The effectiveness of the ROI approach has been tested by
integrating it with a texture based identification / authentication system
proposed earlier. The improvement has been shown by comparing the
identification accuracy rate before and after the ROI pre-processing.",Extracting Region of Interest for Palm Print Authentication,<unk> video various an
199,"In subspace clustering, a group of data points belonging to a union of
subspaces are assigned membership to their respective subspaces. This paper
presents a new approach dubbed Innovation Pursuit (iPursuit) to the problem of
subspace clustering using a new geometrical idea whereby subspaces are
identified based on their relative novelties. We present two frameworks in
which the idea of innovation pursuit is used to distinguish the subspaces.
Underlying the first framework is an iterative method that finds the subspaces
consecutively by solving a series of simple linear optimization problems, each
searching for a direction of innovation in the span of the data potentially
orthogonal to all subspaces except for the one to be identified in one step of
the algorithm. A detailed mathematical analysis is provided establishing
sufficient conditions for iPursuit to correctly cluster the data. The proposed
approach can provably yield exact clustering even when the subspaces have
significant intersections. It is shown that the complexity of the iterative
approach scales only linearly in the number of data points and subspaces, and
quadratically in the dimension of the subspaces. The second framework
integrates iPursuit with spectral clustering to yield a new variant of
spectral-clustering-based algorithms. The numerical simulations with both real
and synthetic data demonstrate that iPursuit can often outperform the
state-of-the-art subspace clustering algorithms, more so for subspaces with
significant intersections, and that it significantly improves the
state-of-the-art result for subspace-segmentation-based face clustering.",Innovation Pursuit: A New Approach to Subspace Clustering,superiority show video step
200,"An important problem in sequential decision-making under uncertainty is to
use limited data to compute a safe policy, i.e., a policy that is guaranteed to
perform at least as well as a given baseline strategy. In this paper, we
develop and analyze a new model-based approach to compute a safe policy when we
have access to an inaccurate dynamics model of the system with known accuracy
guarantees. Our proposed robust method uses this (inaccurate) model to directly
minimize the (negative) regret w.r.t. the baseline policy. Contrary to the
existing approaches, minimizing the regret allows one to improve the baseline
policy in states with accurate dynamics and seamlessly fall back to the
baseline policy, otherwise. We show that our formulation is NP-hard and propose
an approximate algorithm. Our empirical results on several domains show that
even this relatively simple approximate algorithm can significantly outperform
standard approaches.",Safe Policy Improvement by Minimizing Robust Baseline Regret,models model prohibit brain
201,"The fundamental role of hypernymy in NLP has motivated the development of
many methods for the automatic identification of this relation, most of which
rely on word distribution. We investigate an extensive number of such
unsupervised measures, using several distributional semantic models that differ
by context type and feature weighting. We analyze the performance of the
different methods based on their linguistic motivation. Comparison to the
state-of-the-art supervised methods shows that while supervised methods
generally outperform the unsupervised ones, the former are sensitive to the
distribution of training instances, hurting their reliability. Being based on
general linguistic hypotheses and independent from training data, unsupervised
measures are more robust, and therefore are still useful artillery for
hypernymy detection.","Hypernyms under Siege: Linguistically-motivated Artillery for Hypernymy
  Detection",networks <unk> show show
202,"Students in online courses generate large amounts of data that can be used to
personalize the learning process and improve quality of education. In this
paper, we present the Latent Skill Embedding (LSE), a probabilistic model of
students and educational content that can be used to recommend personalized
sequences of lessons with the goal of helping students prepare for specific
assessments. Akin to collaborative filtering for recommender systems, the
algorithm does not require students or content to be described by features, but
it learns a representation using access traces. We formulate this problem as a
regularized maximum-likelihood embedding of students, lessons, and assessments
from historical student-content interactions. An empirical evaluation on
large-scale data from Knewton, an adaptive learning technology company, shows
that this approach predicts assessment results competitively with benchmark
models and is able to discriminate between lesson sequences that lead to
mastery and failure.",Latent Skill Embedding for Personalized Lesson Sequence Recommendation,using <unk> model <unk> cross correlation data <unk> number
203,"We propose a finite-state transducer (FST) representation for the models used
to decode keyboard inputs on mobile devices. Drawing from learnings from the
field of speech recognition, we describe a decoding framework that can satisfy
the strict memory and latency constraints of keyboard input. We extend this
framework to support functionalities typically not present in speech
recognition, such as literal decoding, autocorrections, word completions, and
next word predictions.
  We describe the general framework of what we call for short the keyboard ""FST
decoder"" as well as the implementation details that are new compared to a
speech FST decoder. We demonstrate that the FST decoder enables new UX features
such as post-corrections. Finally, we sketch how this decoder can support
advanced features such as personalization and contextualization.",Mobile Keyboard Input Decoding with Finite-State Transducers,significant significant significant achieve achieved proposed known based
204,"For more than forty years now, modern theories of literature (Compagnon,
1979) insist on the role of paraphrases, rewritings, citations, reciprocal
borrowings and mutual contributions of any kinds. The notions of
intertextuality, transtextuality, hypertextuality/hypotextuality, were
introduced in the seventies and eighties to approach these phenomena. The
careful analysis of these references is of particular interest in evaluating
the distance that the creator voluntarily introduces with his/her masters.
Phoebus is collaborative project that makes computer scientists from the
University Pierre and Marie Curie (LIP6-UPMC) collaborate with the literary
teams of Paris-Sorbonne University with the aim to develop efficient tools for
literary studies that take advantage of modern computer science techniques. In
this context, we have developed a piece of software that automatically detects
and explores networks of textual reuses in classical literature. This paper
describes the principles on which is based this program, the significant
results that have already been obtained and the perspectives for the near
future.",Automatic Detection of Reuses and Citations in Literary Texts,programming stochastic
205,"In many recent applications, data is plentiful. By now, we have a rather
clear understanding of how more data can be used to improve the accuracy of
learning algorithms. Recently, there has been a growing interest in
understanding how more data can be leveraged to reduce the required training
runtime. In this paper, we study the runtime of learning as a function of the
number of available training examples, and underscore the main high-level
techniques. We provide some initial positive results showing that the runtime
can decrease exponentially while only requiring a polynomial growth of the
number of examples, and spell-out several interesting open problems.",Using More Data to Speed-up Training Time,models model next  research state model <unk>
206,"We consider a stochastic continuum armed bandit problem where the arms are
indexed by the $\ell_2$ ball $B_{d}(1+\nu)$ of radius $1+\nu$ in
$\mathbb{R}^d$. The reward functions $r :B_{d}(1+\nu) \rightarrow \mathbb{R}$
are considered to intrinsically depend on $k \ll d$ unknown linear parameters
so that $r(\mathbf{x}) = g(\mathbf{A} \mathbf{x})$ where $\mathbf{A}$ is a full
rank $k \times d$ matrix. Assuming the mean reward function to be smooth we
make use of results from low-rank matrix recovery literature and derive an
efficient randomized algorithm which achieves a regret bound of $O(C(k,d)
n^{\frac{1+k}{2+k}} (\log n)^{\frac{1}{2+k}})$ with high probability. Here
$C(k,d)$ is at most polynomial in $d$ and $k$ and $n$ is the number of rounds
or the sampling budget which is assumed to be known beforehand.","Stochastic continuum armed bandit problem of few linear parameters in
  high dimensions",suitable model data allows set linear
207,"Support Vector Machines, SVMs, and the Large Margin Nearest Neighbor
algorithm, LMNN, are two very popular learning algorithms with quite different
learning biases. In this paper we bring them into a unified view and show that
they have a much stronger relation than what is commonly thought. We analyze
SVMs from a metric learning perspective and cast them as a metric learning
problem, a view which helps us uncover the relations of the two algorithms. We
show that LMNN can be seen as learning a set of local SVM-like models in a
quadratic space. Along the way and inspired by the metric-based interpretation
of SVM s we derive a novel variant of SVMs, epsilon-SVM, to which LMNN is even
more similar. We give a unified view of LMNN and the different SVM variants.
Finally we provide some preliminary experiments on a number of benchmark
datasets in which show that epsilon-SVM compares favorably both with respect to
LMNN and SVM.",A metric learning perspective of SVM: on the relation of SVM and LMNN,models method strategy layer method <unk>
208,"Although a great methodological effort has been invested in proposing
competitive solutions to the class-imbalance problem, little effort has been
made in pursuing a theoretical understanding of this matter.
  In order to shed some light on this topic, we perform, through a novel
framework, an exhaustive analysis of the adequateness of the most commonly used
performance scores to assess this complex scenario. We conclude that using
unweighted H\""older means with exponent $p \leq 1$ to average the recalls of
all the classes produces adequate scores which are capable of determining
whether a classifier is competitive.
  Then, we review the major solutions presented in the class-imbalance
literature. Since any learning task can be defined as an optimisation problem
where a loss function, usually connected to a particular score, is minimised,
our goal, here, is to find whether the learning tasks found in the literature
are also oriented to maximise the previously detected adequate scores. We
conclude that they usually maximise the unweighted H\""older mean with $p = 1$
(a-mean).
  Finally, we provide bounds on the values of the studied performance scores
which guarantee a classifier with a higher recall than the random classifier in
each and every class.","Towards Competitive Classifiers for Unbalanced Classification Problems:
  A Study on the Performance Scores",along model <unk> image data <unk> knowledge
209,"Data quantization learns encoding results of data with certain requirements,
and provides a broad perspective of many real-world applications to data
handling. Nevertheless, the results of encoder is usually limited to
multivariate inputs with the random mapping, and side information of binary
codes are hardly to mostly depict the original data patterns as possible. In
the literature, cosine based random quantization has attracted much attentions
due to its intrinsic bounded results. Nevertheless, it usually suffers from the
uncertain outputs, and information of original data fails to be fully preserved
in the reduced codes. In this work, a novel binary embedding method, termed
adaptive training quantization (ATQ), is proposed to learn the ideal transform
of random encoder, where the limitation of cosine random mapping is tackled. As
an adaptive learning idea, the reduced mapping is adaptively calculated with
idea of data group, while the bias of random transform is to be improved to
hold most matching information. Experimental results show that the proposed
method is able to obtain outstanding performance compared with other random
quantization methods.",Adaptive Training of Random Mapping for Data Quantization,neural <unk> method <unk> online
210,"The progress in imaging techniques have allowed the study of various aspect
of cellular mechanisms. To isolate individual cells in live imaging data, we
introduce an elegant image segmentation framework that effectively extracts
cell boundaries, even in the presence of poor edge details. Our approach works
in two stages. First, we estimate pixel interior/border/exterior class
probabilities using random ferns. Then, we use an energy minimization framework
to compute boundaries whose localization is compliant with the pixel class
probabilities. We validate our approach on a manually annotated dataset.",Cell segmentation with random ferns and graph-cuts,data using based labeled using proposed data based
211,"Heuristic optimisers which search for an optimal configuration of variables
relative to an objective function often get stuck in local optima where the
algorithm is unable to find further improvement. The standard approach to
circumvent this problem involves periodically restarting the algorithm from
random initial configurations when no further improvement can be found. We
propose a method of partial reinitialization, whereby, in an attempt to find a
better solution, only sub-sets of variables are re-initialised rather than the
whole configuration. Much of the information gained from previous runs is hence
retained. This leads to significant improvements in the quality of the solution
found in a given time for a variety of optimisation problems in machine
learning.",Partial Reinitialisation for Optimisers,learning find model word for
212,"In this paper, an efficient implementation for a recognition system based on
the original HMAX model of the visual cortex is proposed. Various optimizations
targeted to increase accuracy at the so-called layers S1, C1, and S2 of the
HMAX model are proposed. At layer S1, all unimportant information such as
illumination and expression variations are eliminated from the images. Each
image is then convolved with 64 separable Gabor filters in the spatial domain.
At layer C1, the minimum scales values are exploited to be embedded into the
maximum ones using the additive embedding space. At layer S2, the prototypes
are generated in a more efficient way using Partitioning Around Medoid (PAM)
clustering algorithm. The impact of these optimizations in terms of accuracy
and computational complexity was evaluated on the Caltech101 database, and
compared with the baseline performance using support vector machine (SVM) and
nearest neighbor (NN) classifiers. The results show that our model provides
significant improvement in accuracy at the S1 layer by more than 10% where the
computational complexity is also reduced. The accuracy is slightly increased
for both approximations at the C1 and S2 layers.","Efficient Implementation of a Recognition System Using the Cortex
  Ventral Stream Model",paper  for based greedy online model <unk>
213,"Consider the binary classification problem of predicting a target variable
$Y$ from a discrete feature vector $X = (X_1,...,X_d)$. When the probability
distribution $\mathbb{P}(X,Y)$ is known, the optimal classifier, leading to the
minimum misclassification rate, is given by the Maximum A-posteriori
Probability decision rule. However, estimating the complete joint distribution
$\mathbb{P}(X,Y)$ is computationally and statistically impossible for large
values of $d$. An alternative approach is to first estimate some low order
marginals of $\mathbb{P}(X,Y)$ and then design the classifier based on the
estimated low order marginals. This approach is also helpful when the complete
training data instances are not available due to privacy concerns. In this
work, we consider the problem of finding the optimum classifier based on some
estimated low order marginals of $(X,Y)$. We prove that for a given set of
marginals, the minimum Hirschfeld-Gebelein-Renyi (HGR) correlation principle
introduced in [1] leads to a randomized classification rule which is shown to
have a misclassification rate no larger than twice the misclassification rate
of the optimal classifier. Then, under a separability condition, we show that
the proposed algorithm is equivalent to a randomized linear regression
approach. In addition, this method naturally results in a robust feature
selection method selecting a subset of features having the maximum worst case
HGR correlation with the target variable. Our theoretical upper-bound is
similar to the recent Discrete Chebyshev Classifier (DCC) approach [2], while
the proposed algorithm has significant computational advantages since it only
requires solving a least square optimization problem. Finally, we numerically
compare our proposed algorithm with the DCC classifier and show that the
proposed algorithm results in better misclassification rate over various
datasets.",Discrete Rényi Classifiers,rapid rapid size data robust images  role
214,"Structure from motion algorithms have an inherent limitation that the
reconstruction can only be determined up to the unknown scale factor. Modern
mobile devices are equipped with an inertial measurement unit (IMU), which can
be used for estimating the scale of the reconstruction. We propose a method
that recovers the metric scale given inertial measurements and camera poses. In
the process, we also perform a temporal and spatial alignment of the camera and
the IMU. Therefore, our solution can be easily combined with any existing
visual reconstruction software. The method can cope with noisy camera pose
estimates, typically caused by motion blur or rolling shutter artifacts, via
utilizing a Rauch-Tung-Striebel (RTS) smoother. Furthermore, the scale
estimation is performed in the frequency domain, which provides more robustness
to inaccurate sensor time stamps and noisy IMU samples than the previously used
time domain representation. In contrast to previous methods, our approach has
no parameters that need to be tuned for achieving a good performance. In the
experiments, we show that the algorithm outperforms the state-of-the-art in
both accuracy and convergence speed of the scale estimate. The accuracy of the
scale is around $1\%$ from the ground truth depending on the recording. We also
demonstrate that our method can improve the scale accuracy of the Project
Tango's build-in motion tracking.","Inertial-Based Scale Estimation for Structure from Motion on Mobile
  Devices",learning focus effective model languages loss
215,"The detection of small road hazards, such as lost cargo, is a vital
capability for self-driving cars. We tackle this challenging and rarely
addressed problem with a vision system that leverages appearance, contextual as
well as geometric cues. To utilize the appearance and contextual cues, we
propose a new deep learning-based obstacle detection framework. Here a variant
of a fully convolutional network is used to predict a pixel-wise semantic
labeling of (i) free-space, (ii) on-road unexpected obstacles, and (iii)
background. The geometric cues are exploited using a state-of-the-art detection
approach that predicts obstacles from stereo input images via model-based
statistical hypothesis tests. We present a principled Bayesian framework to
fuse the semantic and stereo-based detection results. The mid-level Stixel
representation is used to describe obstacles in a flexible, compact and robust
manner. We evaluate our new obstacle detection system on the Lost and Found
dataset, which includes very challenging scenes with obstacles of only 5 cm
height. Overall, we report a major improvement over the state-of-the-art, with
relative performance gains of up to 50%. In particular, we achieve a detection
rate of over 90% for distances of up to 50 m. Our system operates at 22 Hz on
our self-driving platform.","Detecting Unexpected Obstacles for Self-Driving Cars: Fusing Deep
  Learning and Geometric Modeling",networks image <unk>
216,"In this paper, we propose an effective scene text recognition method using
sparse coding based features, called Histograms of Sparse Codes (HSC) features.
For character detection, we use the HSC features instead of using the
Histograms of Oriented Gradients (HOG) features. The HSC features are extracted
by computing sparse codes with dictionaries that are learned from data using
K-SVD, and aggregating per-pixel sparse codes to form local histograms. For
word recognition, we integrate multiple cues including character detection
scores and geometric contexts in an objective function. The final recognition
results are obtained by searching for the words which correspond to the maximum
value of the objective function. The parameters in the objective function are
learned using the Minimum Classification Error (MCE) training method.
Experiments on several challenging datasets demonstrate that the proposed
HSC-based scene text recognition method outperforms HOG-based methods
significantly and outperforms most state-of-the-art methods.",Robust Scene Text Recognition Using Sparse Coding based Features,fractal <unk> use
217,"In this paper, researchers estimated the stock price of activated companies
in Tehran (Iran) stock exchange. It is used Linear Regression and Artificial
Neural Network methods and compared these two methods. In Artificial Neural
Network, of General Regression Neural Network method (GRNN) for architecture is
used. In this paper, first, researchers considered 10 macro economic variables
and 30 financial variables and then they obtained seven final variables
including 3 macro economic variables and 4 financial variables to estimate the
stock price using Independent components Analysis (ICA). So, we presented an
equation for two methods and compared their results which shown that artificial
neural network method is more efficient than linear regression method.","The Comparison of Methods Artificial Neural Network with Linear
  Regression Using Specific Variables for Prediction Stock Price in Tehran
  Stock Exchange",similarity using cross correlation known based numerals theory
218,"We draw a formal connection between using synthetic training data to optimize
neural network parameters and approximate, Bayesian, model-based reasoning. In
particular, training a neural network using synthetic data can be viewed as
learning a proposal distribution generator for approximate inference in the
synthetic-data generative model. We demonstrate this connection in a
recognition task where we develop a novel Captcha-breaking architecture and
train it using synthetic data, demonstrating both state-of-the-art performance
and a way of computing task-specific posterior uncertainty. Using a neural
network trained this way, we also demonstrate successful breaking of real-world
Captchas currently used by Facebook and Wikipedia. Reasoning from these
empirical results and drawing connections with Bayesian modeling, we discuss
the robustness of synthetic data results and suggest important considerations
for ensuring good neural network generalization when training with synthetic
data.",Using Synthetic Data to Train Neural Networks is Model-Based Reasoning,using offers shown
219,"Building a voice conversion (VC) system from non-parallel speech corpora is
challenging but highly valuable in real application scenarios. In most
situations, the source and the target speakers do not repeat the same texts or
they may even speak different languages. In this case, one possible, although
indirect, solution is to build a generative model for speech. Generative models
focus on explaining the observations with latent variables instead of learning
a pairwise transformation function, thereby bypassing the requirement of speech
frame alignment. In this paper, we propose a non-parallel VC framework with a
variational autoencoding Wasserstein generative adversarial network (VAW-GAN)
that explicitly considers a VC objective when building the speech model.
Experimental results corroborate the capability of our framework for building a
VC system from unaligned data, and demonstrate improved conversion quality.","Voice Conversion from Unaligned Corpora using Variational Autoencoding
  Wasserstein Generative Adversarial Networks",learning model model prove method word paper  for
220,"We study a specific \textit{combinatorial pure exploration stochastic bandit
problem} where the learner aims at finding the set of arms whose means are
above a given threshold, up to a given precision, and \textit{for a fixed time
horizon}. We propose a parameter-free algorithm based on an original heuristic,
and prove that it is optimal for this problem by deriving matching upper and
lower bounds. To the best of our knowledge, this is the first non-trivial pure
exploration setting with \textit{fixed budget} for which optimal strategies are
constructed.",An optimal algorithm for the Thresholding Bandit Problem,benchmark  noisy models
